name,photo_url
Ross Barkley,http://commons.wikimedia.org/wiki/Special:FilePath/Ross%20Barkley%20in%202019.jpg
Kieran Trippier,http://commons.wikimedia.org/wiki/Special:FilePath/Kieran%20Trippier%202018-07-14%201.jpg
Emma Raducanu,http://commons.wikimedia.org/wiki/Special:FilePath/Emma%20Raducanu%20%282024%20DC%20Open%29%2003.jpg
Alexia Putellas,http://commons.wikimedia.org/wiki/Special:FilePath/Brann%20-%20Bar%C3%A7a%20Femen%C3%AD%20CG3A5851%20%28cropped%29.jpg
Nico Williams,http://commons.wikimedia.org/wiki/Special:FilePath/ATHLETIC-OSASUNA%20SEMIFINAL.%20MAIDER%20GOIKOETXEA%20%28168%29.jpg
Salvatore Sirigu,http://commons.wikimedia.org/wiki/Special:FilePath/20150616%20-%20Portugal%20-%20Italie%20-%20Gen%C3%A8ve%20-%20Salvatore%20Sirigu%201%20%28cropped%29.jpg
Alessandro Florenzi,http://commons.wikimedia.org/wiki/Special:FilePath/Florenzi%2C%20Roma-Udinese%2017%20marzo%202014.jpg
Nicolò Barella,http://commons.wikimedia.org/wiki/Special:FilePath/Nicol%C3%B2%20Barella%20in%202021.jpg
Manuel Locatelli,http://commons.wikimedia.org/wiki/Special:FilePath/MANUEL%20LOCATELLI%20-%20ZENIT%20vs%20JUVENTUS.jpg
Hatem Ben Arfa,http://commons.wikimedia.org/wiki/Special:FilePath/Hatem%20Ben%20Arfa%20Cannes%202016%202.jpg
André Ayew,http://commons.wikimedia.org/wiki/Special:FilePath/20150331%20Mali%20vs%20Ghana%20170.jpg
Pierre Gasly,http://commons.wikimedia.org/wiki/Special:FilePath/2019%20Formula%20One%20tests%20Barcelona%2C%20Gasly%20%2847200027932%29.jpg
Presnel Kimpembe,http://commons.wikimedia.org/wiki/Special:FilePath/Presnel%20Kimpembe%202022.jpg
Jonny Evans,http://commons.wikimedia.org/wiki/Special:FilePath/Jonny%20Evans%2C%20CZE-NIR%202019-10-14%20%283%29%20%28cropped%29.jpg
Kieran Gibbs,http://commons.wikimedia.org/wiki/Special:FilePath/Kieran%20Gibbs%2005-10-2014%201.jpg
Aaron Lennon,http://commons.wikimedia.org/wiki/Special:FilePath/Aaron%20Lennon%20Brighton%20v%20Spurs%20Amex%20Opening%2030711.jpg
Victor Moses,http://commons.wikimedia.org/wiki/Special:FilePath/Victor%20Moses%20in%202022.jpg
Andrew Robertson,http://commons.wikimedia.org/wiki/Special:FilePath/LFC%20Parade%202019%2001%20Andy%20Robertson.jpg
Álvaro Negredo Sánchez,http://commons.wikimedia.org/wiki/Special:FilePath/Negredo.jpg
Álvaro Negredo Sánchez,http://commons.wikimedia.org/wiki/Special:FilePath/Negredo%20a%20la%20porta%20de%20Mestalla.jpg
Pablo Sarabia,http://commons.wikimedia.org/wiki/Special:FilePath/2019-07-17%20SG%20Dynamo%20Dresden%20vs.%20Paris%20Saint-Germain%20by%20Sandro%20Halank%E2%80%93017%20%28cropped%29.jpg
Aymeric Laporte,http://commons.wikimedia.org/wiki/Special:FilePath/Aymeric%20Laporte%202023%20%28cropped%29%202.jpg
Álvaro Odriozola,http://commons.wikimedia.org/wiki/Special:FilePath/CSKA-RM18%20%2812%29%20%28cropped.jpg
Emiliano Sala,http://commons.wikimedia.org/wiki/Special:FilePath/Emiliano%20Sala.jpg
Matteo Darmian,http://commons.wikimedia.org/wiki/Special:FilePath/20150616%20-%20Portugal%20-%20Italie%20-%20Gen%C3%A8ve%20-%20Matteo%20Darmian%201.jpg
Federico Bernardeschi,http://commons.wikimedia.org/wiki/Special:FilePath/FC%20Zenit%20Saint%20Petersburg%20vs.%20Juventus%2C%2020%20October%202021%2017%20%28Federico%20Bernardeschi%29.jpg
Mathieu Debuchy,http://commons.wikimedia.org/wiki/Special:FilePath/Mathieu%20Debuchy%2C%202015-05-31.JPG
Gaël Clichy,http://commons.wikimedia.org/wiki/Special:FilePath/Gael%20Clichy%2C%20Premier%20League%20parade%2011-12%20%28cropped%29.jpg
Gaël Monfils,http://commons.wikimedia.org/wiki/Special:FilePath/Monfils%20RG19%20%2813%29%20%2848199149362%29.jpg
Alexandre Song,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Song%202009.jpg
Aymeric Laporte,http://commons.wikimedia.org/wiki/Special:FilePath/Aymeric%20Laporte%202023%20%28cropped%29%202.jpg
Raphaël Guerreiro,http://commons.wikimedia.org/wiki/Special:FilePath/Rapha%C3%ABl%20Guerreiro%20%28cropped%29.jpg
Reece James,http://commons.wikimedia.org/wiki/Special:FilePath/Reece%20James%20FIFA%20Club%20World%20Cup%20final%20extraction.jpg
Andrés Guardado,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9s%20Guardado1%20%28cropped%29.jpg
José Callejón,http://commons.wikimedia.org/wiki/Special:FilePath/Russia-Spain%202017%20%284%29.jpg
Marc Bartra,http://commons.wikimedia.org/wiki/Special:FilePath/Naples%20vs%20Barcelone%20-%20Gen%C3%A8ve%20-%20aout%202014%20-%20Marc%20Bartra.jpg
Marc Bartra,http://commons.wikimedia.org/wiki/Special:FilePath/Bar%C3%A7a%20-%20Napoli%20-%2020140806%20-%20Marc%20Bartra%202.jpg
Alberto Moreno,http://commons.wikimedia.org/wiki/Special:FilePath/Alberto%20Moreno%20%28cropped%29.jpg
Manu Trigueros,http://commons.wikimedia.org/wiki/Special:FilePath/Manu%20Trigueros.JPG
Marc Cucurella,http://commons.wikimedia.org/wiki/Special:FilePath/Marc%20Cucurella.jpg
Yohan Cabaye,http://commons.wikimedia.org/wiki/Special:FilePath/Yohan%20Cabaye.JPG
Jérémy Ménez,http://commons.wikimedia.org/wiki/Special:FilePath/J%C3%A9r%C3%A9my%20M%C3%A9nez.jpg
André-Pierre Gignac,http://commons.wikimedia.org/wiki/Special:FilePath/Final%20CONCACAF%2023%20%28cropped%29.jpg
